episode,reward,avg10,eval_reward,best_eval,critic_loss,actor_loss,steps,replay_size,grad_cosine,tick_vs_direct_mse
1,-277.9538249818257,-277.9538249818257,,,0.0,0.0,1000,1000,,
2,-378.3605198810925,-328.1571724314591,,,0.0,0.0,2000,2000,,
3,-364.5875857188316,-340.30064352725,,,0.0,0.0,3000,3000,,
4,-329.9182468698275,-337.70504436289434,,,0.0,0.0,4000,4000,,
5,-327.1725804376135,-335.5985515778382,,,0.0,0.0,5000,5000,,
6,-168.48463343111905,-307.7462318867183,,,0.0,0.0,6000,6000,,
7,-306.5898390018392,-307.58103290316416,,,0.0,0.0,7000,7000,,
8,-158.8000367631203,-288.98340838565866,,,0.0,0.0,8000,8000,,
9,-282.0491159246399,-288.21293144554545,,,0.0,0.0,9000,9000,,
10,-289.6657619083255,-288.3582144918235,-0.17006827578409411,-0.17006827578409411,1.2140934467315674,0.0,10000,10000,,
11,-426.0343532143941,-303.1662673150803,,-0.17006827578409411,0.3161208188980818,-0.6456354225296527,11000,11000,,
12,-465.4901015996818,-311.8792254869392,,-0.17006827578409411,0.3535197027027607,-0.9494823489785195,12000,12000,,
13,-448.6294775041644,-320.28341466547255,,-0.17006827578409411,0.5399939050972462,-1.3040712872743607,13000,13000,,
14,-473.4781768079564,-334.6394076592854,,-0.17006827578409411,0.7081900944709778,-1.7073258936405182,14000,14000,,
15,-550.9524473035225,-357.01739434587637,,-0.17006827578409411,0.901481665790081,-2.246658045530319,15000,15000,,
16,-508.37601330103325,-391.0065323328677,,-0.17006827578409411,1.024258045732975,-2.8578147377967835,16000,16000,,
17,-600.9978558716651,-420.4473340198503,,-0.17006827578409411,1.0707777507901193,-3.3089133319854738,17000,17000,,
18,-346.9378518843724,-439.26111553197563,,-0.17006827578409411,1.2144900609254836,-3.5112059483528135,18000,18000,,
19,-204.2505362583958,-431.4812575653512,,-0.17006827578409411,1.3405256990790366,-3.59711932516098,19000,19000,,
20,-142.76686370885506,-416.7913677454041,-500.2557623745951,-0.17006827578409411,1.791109133720398,-3.8357784066200256,20000,20000,,
21,-331.2776086522149,-407.3156932891862,,-0.17006827578409411,1.7709159288406373,-4.022332894325256,21000,21000,,
22,-268.69827160143706,-387.6365102893617,,-0.17006827578409411,1.8707576981782914,-4.2165709700584415,22000,22000,,
23,-525.3111122386107,-395.3046737628064,,-0.17006827578409411,2.188582854986191,-4.626136812210083,23000,23000,,
24,-42.38304447571037,-352.19516052958176,,-0.17006827578409411,2.6179279499053956,-4.92377008485794,24000,24000,,
25,48.9876708030215,-292.20114871892736,,-0.17006827578409411,2.865166624546051,-5.307071136474609,25000,25000,,
26,20.735188059453595,-239.29002858287862,,-0.17006827578409411,2.846065110564232,-5.3059427676200865,26000,26000,,
27,-117.36792618223436,-190.92703561393557,,-0.17006827578409411,2.7234968283176424,-5.012170184612274,27000,27000,,
28,-81.85918111533252,-164.41916853703157,,-0.17006827578409411,2.7676928876638414,-4.971669866085053,28000,28000,,
29,-85.07019203460689,-152.50113411465267,,-0.17006827578409411,2.7231331120729445,-4.68642068529129,29000,29000,,
30,274.83959240062256,-110.74048850370491,483.39183595494995,483.39183595494995,2.7619496026039125,-4.758204134941101,30000,30000,,
31,624.0423978547199,-15.208487853011444,,483.39183595494995,2.907902902364731,-5.043162819862366,31000,31000,,
32,273.1678637534932,38.9781256824816,,483.39183595494995,3.0069775202274323,-5.457119491577148,32000,32000,,
33,1721.9049577084734,263.69973267719,,483.39183595494995,3.1914573211669923,-6.270424299716949,33000,33000,,
34,454.6859175560968,313.4066288803707,,483.39183595494995,3.5309187858104707,-7.36819245672226,34000,34000,,
35,904.8187692282135,398.9897387228899,,483.39183595494995,3.6245046343803407,-8.05434605026245,35000,35000,,
36,398.16197101060914,436.73241701800544,,483.39183595494995,3.698104060173035,-8.405463094234467,36000,36000,,
37,1156.3592368786383,564.1051333240928,,483.39183595494995,3.9773228521347046,-9.365650255203247,37000,37000,,
38,2216.057130484938,793.8967644841198,,483.39183595494995,4.264300066947937,-10.80951798439026,38000,38000,,
39,978.2937027980333,900.2331539673838,,483.39183595494995,4.93661376285553,-12.783995477676392,39000,39000,,
40,2028.3669216766466,1075.585886894986,1537.4865302173341,1537.4865302173341,5.127943779945373,-14.387929225921631,40000,40000,,
41,579.3778248100458,1071.1194295905188,,1537.4865302173341,5.459066498279571,-15.630703060150147,41000,41000,,
42,2230.805428673885,1266.883186082558,,1537.4865302173341,5.4784845159053805,-17.40220969772339,42000,42000,,
43,2550.069341280523,1349.6996244397628,,1537.4865302173341,6.18773638010025,-19.934556102752687,43000,43000,,
44,2505.667059519736,1554.7977386361267,,1537.4865302173341,7.174881649017334,-22.43673677062988,44000,44000,,
45,2268.07806407968,1691.1236681212736,,1537.4865302173341,7.6781583857536315,-25.377818531036375,45000,45000,,
46,2577.6906466384753,1909.0765356840602,,1537.4865302173341,8.018667267799378,-27.5926086769104,46000,46000,,
47,2917.3978160871548,2085.180393604912,,1537.4865302173341,8.791428104400635,-30.432904933929443,47000,47000,,
48,2843.087906946251,2147.883471251043,,1537.4865302173341,9.10984894990921,-33.51438053894043,48000,48000,,
49,1135.5475457339924,2163.608855544639,,1537.4865302173341,10.106049107551575,-35.881902950286864,49000,49000,,
50,2454.432165839447,2206.215379960919,3014.8256620479697,3014.8256620479697,10.478884043216706,-37.896178691864016,50000,50000,,
51,2963.819873782746,2444.659584858189,,3014.8256620479697,11.115448744297028,-40.44147006225586,51000,51000,,
52,3138.6657542958505,2535.4456174203856,,3014.8256620479697,12.469876989364623,-43.50805561065674,52000,52000,,
53,2935.3801350223785,2573.976696794571,,3014.8256620479697,12.518538666725158,-46.3598549041748,53000,53000,,
54,1001.1495983347609,2423.5249506760733,,3014.8256620479697,13.466059570789337,-48.82334786224365,54000,54000,,
55,3262.380078725479,2522.9551521406534,,3014.8256620479697,15.944739812374115,-50.63830320739746,55000,55000,,
56,2854.723866299469,2550.658474106753,,3014.8256620479697,16.853685469150545,-53.616996131896975,56000,56000,,
57,1755.8217295890365,2434.500865456941,,3014.8256620479697,16.808834553718565,-56.08912354278564,57000,57000,,
58,2509.722578715404,2401.1643326338562,,3014.8256620479697,17.12685414981842,-58.52652220916748,58000,58000,,
59,3285.2828145935396,2616.1378595198107,,3014.8256620479697,17.64451432991028,-60.80243943786621,59000,59000,,
60,1371.9159670460972,2507.886239640476,2605.5699897198497,3014.8256620479697,19.405228318214416,-63.349587188720704,60000,60000,,
61,3197.1581088368116,2531.2200631458827,,3014.8256620479697,20.123032006263735,-65.07896900177002,61000,61000,,
62,3446.3203320000416,2561.985520916302,,3014.8256620479697,22.863037518501283,-68.08302741241455,62000,62000,,
63,3156.7355452922193,2584.1210619432863,,3014.8256620479697,21.38012238025665,-70.7659461517334,63000,63000,,
64,3292.129917689436,2813.2190938787535,,3014.8256620479697,23.63206315803528,-73.83042198181153,64000,64000,,
65,3686.1554144244437,2855.59662744865,,3014.8256620479697,25.33233759403229,-76.6417417755127,65000,65000,,
66,3601.334807316632,2930.257721550366,,3014.8256620479697,26.489302295684816,-79.56328216552734,66000,66000,,
67,3515.2245976505715,3106.1980083565195,,3014.8256620479697,27.048156560897826,-82.1046125793457,67000,67000,,
68,3655.3040654822257,3220.7561570332023,,3014.8256620479697,30.441723328590392,-85.39197496032715,68000,68000,,
69,2610.4359242655546,3153.2714680004037,,3014.8256620479697,28.333664459228515,-87.71208087158203,69000,69000,,
70,3143.3703171639063,3330.416903012185,2039.391011027015,3014.8256620479697,30.710882738113405,-90.27544172668458,70000,70000,,
71,3202.302531912004,3330.9313453197037,,3014.8256620479697,31.554597088813782,-92.6315521697998,71000,71000,,
72,3719.8318823269874,3358.2825003523976,,3014.8256620479697,32.89025681591034,-95.60510946655273,72000,72000,,
73,3493.7368920183585,3391.9826350250123,,3014.8256620479697,31.946649481773377,-98.15301142883301,73000,73000,,
74,500.6467147206658,3112.834314728135,,3014.8256620479697,37.38947893428802,-99.61540863037109,74000,74000,,
75,3738.3233546546066,3118.051108751151,,3014.8256620479697,32.778353516578676,-101.1675754699707,75000,75000,,
76,3917.0315545140556,3149.620783470894,,3014.8256620479697,38.010590252876284,-103.79974809265137,76000,76000,,
77,3659.55407793149,3164.053731498985,,3014.8256620479697,39.28032315158844,-105.86315782165528,77000,77000,,
78,3752.6460518157883,3173.7879301323414,,3014.8256620479697,40.22785727024078,-108.83470640563965,78000,78000,,
79,4025.4119984744307,3315.2855375532286,,3014.8256620479697,43.22852828979492,-111.38389935302735,79000,79000,,
80,3606.148483683707,3361.563354205209,3824.2603989069503,3824.2603989069503,44.93736498451233,-113.4851915435791,80000,80000,,
81,3612.6485694962007,3402.5979579636287,,3824.2603989069503,48.71842244243622,-116.26404692077637,81000,81000,,
82,2071.2889210831922,3237.7436618392494,,3824.2603989069503,51.37193187141418,-118.50988366699218,82000,82000,,
83,3638.257066132226,3252.195679250636,,3824.2603989069503,47.90890138053894,-119.56503302001953,83000,83000,,
84,3776.333254476703,3579.76433322624,,3824.2603989069503,52.84215269184113,-122.46582371520996,84000,84000,,
85,3873.3826245760797,3593.2702602183876,,3824.2603989069503,49.771968870162965,-124.11188124084472,85000,85000,,
86,3960.249176501056,3597.5920224170877,,3824.2603989069503,48.531645595550536,-126.81649526977539,86000,86000,,
87,3863.0748101081654,3617.944095634755,,3824.2603989069503,51.45901229000091,-129.21194845581056,87000,87000,,
88,4031.13291888164,3645.79278234134,,3824.2603989069503,48.66301072216034,-132.09628240966796,88000,88000,,
89,3726.0833866219946,3615.859921156097,,3824.2603989069503,52.375045484542845,-134.30616058349608,89000,89000,,
90,3679.1627272084943,3623.1613455085753,4164.686899484167,4164.686899484167,54.11915288925171,-135.5047434539795,90000,90000,,
91,4005.9461863060033,3662.491107189556,,4164.686899484167,56.104170489311215,-137.9916750488281,91000,91000,,
92,2677.7737896462168,3723.139594045858,,4164.686899484167,67.89423958587646,-139.8211993408203,92000,92000,,
93,4063.6124684358533,3765.6751342762204,,4164.686899484167,57.37838080787659,-141.5784447784424,93000,93000,,
94,3949.4472684589286,3782.9865356744426,,4164.686899484167,63.46456338500977,-143.52400508117677,94000,94000,,
95,4198.755864696563,3815.523859686491,,4164.686899484167,63.39412909698486,-145.3524606323242,95000,95000,,
96,3852.5284250394243,3804.751784540328,,4164.686899484167,61.56921077060699,-147.6297912902832,96000,96000,,
97,4099.362136322331,3828.3805171617446,,4164.686899484167,67.53167632293702,-149.77874166870117,97000,97000,,
98,3960.042730600758,3821.2714983336564,,4164.686899484167,67.32313758563996,-151.5209205932617,98000,98000,,
99,3782.9466816198305,3826.95782783344,,4164.686899484167,68.8292289094925,-153.3824260864258,99000,99000,,
100,3925.563327837825,3851.5978878963733,4199.738943462647,4199.738943462647,74.73997999858857,-155.34657928466797,100000,100000,,
