episode,reward,avg10,eval_reward,best_eval,critic_loss,actor_loss,steps,replay_size,grad_cosine,tick_vs_direct_mse
1,-178.52041574131573,-178.52041574131573,,,0.0,0.0,1000,1000,,
2,-233.99387194674898,-206.25714384403236,,,0.0,0.0,2000,2000,,
3,-351.2707847455602,-254.59502414454164,,,0.0,0.0,3000,3000,,
4,-230.34898548275535,-248.53351447909506,,,0.0,0.0,4000,4000,,
5,-180.49316827148314,-234.9254452375727,,,0.0,0.0,5000,5000,,
6,-330.4097200827908,-250.83949104510904,,,0.0,0.0,6000,6000,,
7,-215.9068092023739,-245.84910792471828,,,0.0,0.0,7000,7000,,
8,-251.86658307137273,-246.6012923180501,,,0.0,0.0,8000,8000,,
9,-328.31520698727985,-255.6806161701867,,,0.0,0.0,9000,9000,,
10,-288.2516438888623,-258.9377189420543,-0.627050282275111,-0.627050282275111,1.0755406618118286,0.0,10000,10000,,
11,-418.9292235271094,-282.9785997206337,,-0.627050282275111,0.3247730064690113,-0.5802584852352738,11000,11000,,
12,-474.12516543550055,-306.99172906950884,,-0.627050282275111,0.4094915240854025,-1.1748374574184417,12000,12000,,
13,-530.4789073973329,-324.9125413346861,,-0.627050282275111,0.5702925414294004,-1.505200704574585,13000,13000,,
14,-467.99507346227506,-348.6771501326381,,-0.627050282275111,0.7531225847750902,-1.621780829191208,14000,14000,,
15,-382.96472579482224,-368.92430588497206,,-0.627050282275111,0.934524307847023,-2.0163580117225646,15000,15000,,
16,-381.8382875691253,-374.0671626336054,,-0.627050282275111,1.1347945794463157,-2.8755413188934327,16000,16000,,
17,-335.45730453270176,-386.02221216663827,,-0.627050282275111,1.1688059629499912,-3.438640676021576,17000,17000,,
18,-307.2171780591165,-391.5572716654126,,-0.627050282275111,1.3075576379001141,-3.926050706386566,18000,18000,,
19,-361.3264177282428,-394.85839273950893,,-0.627050282275111,1.4804704801142217,-4.384645656108856,19000,19000,,
20,-346.3867506453273,-400.6719034151553,-362.27066527353765,-0.627050282275111,1.7004485254883765,-4.844009261608123,20000,20000,,
21,-343.27243864046073,-393.10622492649054,,-0.627050282275111,1.8559463225007058,-5.022091558456421,21000,21000,,
22,-216.9075839710225,-367.3844667800427,,-0.627050282275111,2.008805818259716,-5.099633068561554,22000,22000,,
23,-91.50802800192687,-323.4873788405022,,-0.627050282275111,2.11766863155365,-5.08851320028305,23000,23000,,
24,234.66097550114895,-253.2217739441597,,-0.627050282275111,2.225170833706856,-5.2372695846557615,24000,24000,,
25,784.6104823155821,-136.46425313311926,,-0.627050282275111,2.6105647045969964,-5.963949767112732,25000,25000,,
26,740.0971042931825,-24.27071394688851,,-0.627050282275111,2.8481745113134385,-6.771780919075012,26000,26000,,
27,1024.7136816222003,111.74638466860169,,-0.627050282275111,3.114777737736702,-7.670369104385376,27000,27000,,
28,906.1114586599463,233.079248340508,,-0.627050282275111,3.267795367658138,-8.762916256904601,28000,28000,,
29,1257.489125559059,394.9608026692382,,-0.627050282275111,3.6960767203569413,-10.061853631019591,29000,29000,,
30,1232.4226071354303,552.8417384473139,1034.1887550412027,1034.1887550412027,4.0049041556119915,-11.49724444961548,30000,30000,,
31,1549.5968340417949,742.1286657155395,,1034.1887550412027,4.081457164764404,-12.994623508453369,31000,31000,,
32,1573.9216912390254,921.2115932365443,,1034.1887550412027,4.510930270075798,-14.828047925949097,32000,32000,,
33,-90.91803571751582,921.2705924649854,,1034.1887550412027,4.754770121693611,-15.927565441131591,33000,33000,,
34,1763.8723462996948,1074.19172954484,,1034.1887550412027,5.188927210330963,-17.07111061477661,34000,34000,,
35,1859.2009441091282,1181.6507757241948,,1034.1887550412027,5.491092135071755,-18.9662310295105,35000,35000,,
36,2121.159954338977,1319.7570607287741,,1034.1887550412027,5.912971813201905,-21.229682395935058,36000,36000,,
37,2276.0978407675816,1444.8954766433121,,1034.1887550412027,6.322344088196754,-23.40979167175293,37000,37000,,
38,2075.915172509823,1561.8758480283,,1034.1887550412027,6.925553712248802,-25.726323570251466,38000,38000,,
39,2250.6163880623494,1661.188574278629,,1034.1887550412027,7.733976166367531,-28.14575061798096,39000,39000,,
40,921.162179479634,1630.0625315130494,2561.688019577229,2561.688019577229,8.010052132964134,-30.361130390167236,40000,40000,,
41,2060.86286068275,1681.1891341771448,,2561.688019577229,8.655378539085389,-31.994647403717043,41000,41000,,
42,1451.9274600067051,1668.9897110539127,,2561.688019577229,9.693040129184723,-34.34347058105469,42000,42000,,
43,604.6936576859027,1738.5508803942546,,2561.688019577229,9.478925612688064,-35.74111442565918,43000,43000,,
44,1230.9183171264463,1685.2554774769299,,2561.688019577229,10.014867969989776,-36.87161291122437,44000,44000,,
45,296.76563637434185,1529.0119467034515,,2561.688019577229,10.483637331485749,-38.03430658721924,45000,45000,,
46,1980.4901652367905,1514.9449677932325,,2561.688019577229,10.775825848817826,-39.31625508880615,46000,46000,,
47,185.66425815233555,1305.901609531708,,2561.688019577229,11.63428932261467,-40.83781349945068,47000,47000,,
48,1795.0247922391202,1277.8125715046376,,2561.688019577229,12.079429448843003,-42.205192222595215,48000,48000,,
49,2544.203589707061,1307.171291669109,,2561.688019577229,12.217167595148087,-43.862902976989744,49000,49000,,
50,57.72109554320333,1220.8271832754656,2313.0788041113074,2561.688019577229,12.949710565567017,-45.465680541992185,50000,50000,,
51,324.8150553532266,1047.2224027425132,,2561.688019577229,13.52116377711296,-46.186138412475586,51000,51000,,
52,2532.039494885272,1155.23360623037,,2561.688019577229,15.001692236661912,-47.424281776428224,52000,52000,,
53,2789.706980525926,1373.7349385143723,,2561.688019577229,14.812740341186524,-49.587581924438474,53000,53000,,
54,2394.6540537099527,1490.1085121727233,,2561.688019577229,15.689772202968598,-52.096050422668455,54000,54000,,
55,2687.1561920410463,1729.1475677393933,,2561.688019577229,16.780964308023453,-54.23426533508301,55000,55000,,
56,2959.521278527418,1827.0506790684562,,2561.688019577229,18.561318627357483,-57.110759689331054,56000,56000,,
57,1954.8395173175231,2003.9682049849748,,2561.688019577229,20.034516404628754,-59.310380912780765,57000,57000,,
58,2948.9170135021177,2119.357427111275,,2561.688019577229,19.161579125881197,-60.70203802490234,58000,58000,,
59,2945.124076465827,2159.4494757871516,,2561.688019577229,21.586717300891877,-63.24467725372315,59000,59000,,
60,128.11406782962808,2166.4887730157943,1680.0697435644527,2561.688019577229,20.876569436073304,-64.90113243865967,60000,60000,,
61,2892.4408633258063,2423.2513538130515,,2561.688019577229,22.496434493064882,-65.79145272827148,61000,61000,,
62,2916.6980571220515,2461.7172100367297,,2561.688019577229,24.17753121995926,-68.26148460388184,62000,62000,,
63,2834.265370561961,2466.1730490403334,,2561.688019577229,24.34785466003418,-70.3795157775879,63000,63000,,
64,2918.8684536262476,2518.5944890319624,,2561.688019577229,26.723455268859862,-72.81164295959472,64000,64000,,
65,2813.7189296780434,2531.250762795663,,2561.688019577229,27.635974684715272,-75.1728946838379,65000,65000,,
66,813.2727254676082,2316.6259074896816,,2561.688019577229,28.46737743759155,-77.03260897827148,66000,66000,,
67,3234.235471538169,2444.565502911746,,2561.688019577229,30.675962966918945,-78.31033744812012,67000,67000,,
68,3048.819762944899,2454.555777856024,,2561.688019577229,31.72989000558853,-80.56811912536621,68000,68000,,
69,3016.6788168434105,2461.7112518937824,,2561.688019577229,32.00633689260483,-82.85335809326172,69000,69000,,
70,2098.1871497445263,2658.7185600852727,3448.2890292327465,3448.2890292327465,33.2676019411087,-85.01060179138183,70000,70000,,
71,3160.728004637338,2685.5472742164256,,3448.2890292327465,35.84942722463608,-87.0091965789795,71000,71000,,
72,3155.535183167466,2709.4309868209666,,3448.2890292327465,35.56183779001236,-89.22946058654784,72000,72000,,
73,3073.977276215171,2733.4021773862883,,3448.2890292327465,35.81381868171692,-91.22578227233886,73000,73000,,
74,3165.357611961628,2758.051093219826,,3448.2890292327465,37.6338072977066,-93.30031420898437,74000,74000,,
75,3277.707689809637,2804.449969232985,,3448.2890292327465,36.917114774227144,-95.64694758605957,75000,75000,,
76,992.3078490278688,2822.3534815890116,,3448.2890292327465,43.26690862035751,-97.20821640014648,76000,76000,,
77,3489.4488888756105,2847.874823322755,,3448.2890292327465,38.810878832340244,-98.68363926696777,77000,77000,,
78,3463.0000638303063,2889.292853411296,,3448.2890292327465,39.38085155725479,-100.4000161743164,78000,78000,,
79,3505.222257491862,2938.1471974761416,,3448.2890292327465,42.50983884572983,-102.79493403625489,79000,79000,,
80,3552.7416304324142,3083.6026455449305,3518.569903989521,3518.569903989521,42.15522866821289,-105.15670854187012,80000,80000,,
81,3739.356454769381,3141.4654905581347,,3518.569903989521,44.46340770959854,-107.36310139465333,81000,81000,,
82,3660.6633783474917,3191.978310076137,,3518.569903989521,45.520578680038454,-109.29410429382324,82000,82000,,
83,3701.3623460496774,3254.7168170595874,,3518.569903989521,49.44220254325867,-112.07328569030761,83000,83000,,
84,3801.5308657505248,3318.334142438477,,3518.569903989521,46.98035951519012,-114.0663311920166,84000,84000,,
85,3786.175062616669,3369.1808797191807,,3518.569903989521,48.702450795650485,-116.5432527923584,85000,85000,,
86,3828.0235703305802,3652.7524518494515,,3518.569903989521,47.589843571662904,-118.78521307373047,86000,86000,,
87,3867.4084589790664,3690.5484088597973,,3518.569903989521,50.690307702064516,-121.0602491607666,87000,87000,,
