episode,reward,avg10,eval_reward,best_eval,critic_loss,actor_loss,steps,replay_size,grad_cosine,tick_vs_direct_mse
1,3.0,3.0,,,0.0,0.0,4,4,,
2,7.0,5.0,,,0.0,0.0,12,12,,
3,4.0,4.666666666666667,,,0.0,0.0,17,17,,
4,7.0,5.25,,,0.0,0.0,25,25,,
5,3.0,4.8,,,0.0,0.0,29,29,,
6,3.0,4.5,,,0.0,0.0,33,33,,
7,3.0,4.285714285714286,,,0.0,0.0,37,37,,
8,9.0,4.875,,,0.0,0.0,47,47,,
9,4.0,4.777777777777778,,,0.0,0.0,52,52,,
10,3.0,4.6,,,0.0,0.0,56,56,,
11,4.0,4.7,,,0.0,0.0,61,61,,
12,5.0,4.5,,,0.0,0.0,67,67,,
13,2.0,4.3,,,0.0,0.0,70,70,,
14,4.0,4.0,,,0.0,0.0,75,75,,
15,9.0,4.6,,,0.0,0.0,85,85,,
16,3.0,4.6,,,0.0,0.0,89,89,,
17,5.0,4.8,,,0.0,0.0,95,95,,
18,4.0,4.3,,,0.0,0.0,100,100,,
19,2.0,4.1,,,0.0,0.0,103,103,,
20,2.0,4.0,,,0.0,0.0,106,106,,
21,4.0,4.0,,,0.0,0.0,111,111,,
22,3.0,3.8,,,0.0,0.0,115,115,,
23,2.0,3.8,,,0.0,0.0,118,118,,
24,8.0,4.2,,,0.0,0.0,127,127,,
25,2.0,3.5,,,0.0,0.0,130,130,,
26,22.0,5.4,,,0.0,0.0,153,153,,
27,5.0,5.4,,,0.0,0.0,159,159,,
28,17.0,6.7,,,0.0,0.0,177,177,,
29,2.0,6.7,,,0.0,0.0,180,180,,
30,2.0,6.7,,,0.0,0.0,183,183,,
31,11.0,7.4,,,0.0,0.0,195,195,,
32,10.0,8.1,,,0.0,0.0,206,206,,
33,3.0,8.2,,,0.0,0.0,210,210,,
34,5.0,7.9,,,0.0,0.0,216,216,,
35,2.0,7.9,,,0.0,0.0,219,219,,
36,12.0,6.9,,,0.0,0.0,232,232,,
37,2.0,6.6,,,0.0,0.0,235,235,,
38,3.0,5.2,,,0.0,0.0,239,239,,
39,10.0,6.0,,,0.0,0.0,250,250,,
40,3.0,6.1,,,0.0,0.0,254,254,,
41,6.0,5.6,,,0.0,0.0,261,261,,
42,7.0,5.3,,,0.0,0.0,269,269,,
43,2.0,5.2,,,0.0,0.0,272,272,,
44,3.0,5.0,,,0.0,0.0,276,276,,
45,8.0,5.6,,,0.0,0.0,285,285,,
46,3.0,4.7,,,0.0,0.0,289,289,,
47,4.0,4.9,,,0.0,0.0,294,294,,
48,2.0,4.8,,,0.0,0.0,297,297,,
49,2.0,4.0,,,0.0,0.0,300,300,,
50,8.0,4.5,,,0.0,0.0,309,309,,
51,3.0,4.2,,,0.0,0.0,313,313,,
52,3.0,3.8,,,0.0,0.0,317,317,,
53,4.0,4.0,,,0.0,0.0,322,322,,
54,5.0,4.2,,,0.0,0.0,328,328,,
55,15.0,4.9,,,0.0,0.0,344,344,,
56,2.0,4.8,,,0.0,0.0,347,347,,
57,3.0,4.7,,,0.0,0.0,351,351,,
58,4.0,4.9,,,0.0,0.0,356,356,,
59,3.0,5.0,,,0.0,0.0,360,360,,
60,5.0,4.7,,,0.0,0.0,366,366,,
61,3.0,4.7,,,0.0,0.0,370,370,,
62,5.0,4.9,,,0.0,0.0,376,376,,
63,3.0,4.8,,,0.0,0.0,380,380,,
64,3.0,4.6,,,0.0,0.0,384,384,,
65,3.0,3.4,,,0.0,0.0,388,388,,
66,7.0,3.9,,,0.0,0.0,396,396,,
67,6.0,4.2,,,0.0,0.0,403,403,,
68,6.0,4.4,,,0.0,0.0,410,410,,
69,8.0,4.9,,,0.0,0.0,419,419,,
70,8.0,5.2,,,0.0,0.0,428,428,,
71,5.0,5.4,,,0.0,0.0,434,434,,
72,2.0,5.1,,,0.0,0.0,437,437,,
73,4.0,5.2,,,0.0,0.0,442,442,,
74,11.0,6.0,,,0.0,0.0,454,454,,
75,2.0,5.9,,,0.0,0.0,457,457,,
76,5.0,5.7,,,0.0,0.0,463,463,,
77,6.0,5.7,,,0.0,0.0,470,470,,
78,3.0,5.4,,,0.0,0.0,474,474,,
79,3.0,4.9,,,0.0,0.0,478,478,,
80,6.0,4.7,,,0.0,0.0,485,485,,
81,5.0,4.7,,,0.0,0.0,491,491,,
82,4.0,4.9,,,0.0,0.0,496,496,,
83,7.0,5.2,,,0.0,0.0,504,504,,
84,4.0,4.5,,,0.0,0.0,509,509,,
85,2.0,4.5,,,0.0,0.0,512,512,,
86,2.0,4.2,,,0.0,0.0,515,515,,
87,3.0,3.9,,,0.0,0.0,519,519,,
88,2.0,3.8,,,0.0,0.0,522,522,,
89,3.0,3.8,,,0.0,0.0,526,526,,
90,2.0,3.4,,,0.0,0.0,529,529,,
91,8.0,3.7,,,0.0,0.0,538,538,,
92,5.0,3.8,,,0.0,0.0,544,544,,
93,3.0,3.4,,,0.0,0.0,548,548,,
94,8.0,3.8,,,0.0,0.0,557,557,,
95,6.0,4.2,,,0.0,0.0,564,564,,
96,5.0,4.5,,,0.0,0.0,570,570,,
97,5.0,4.7,,,0.0,0.0,576,576,,
98,2.0,4.7,,,0.0,0.0,579,579,,
99,4.0,4.8,,,0.0,0.0,584,584,,
100,3.0,4.9,,,0.0,0.0,588,588,,
101,2.0,4.3,,,0.0,0.0,591,591,,
102,4.0,4.2,,,0.0,0.0,596,596,,
103,3.0,4.2,,,0.0,0.0,600,600,,
104,3.0,3.7,,,0.0,0.0,604,604,,
105,2.0,3.3,,,0.0,0.0,607,607,,
106,9.0,3.7,,,0.0,0.0,617,617,,
107,2.0,3.4,,,0.0,0.0,620,620,,
108,3.0,3.5,,,0.0,0.0,624,624,,
109,2.0,3.3,,,0.0,0.0,627,627,,
110,9.0,3.9,,,0.0,0.0,637,637,,
111,3.0,4.0,,,0.0,0.0,641,641,,
112,6.0,4.2,,,0.0,0.0,648,648,,
113,13.0,5.2,,,0.0,0.0,662,662,,
114,2.0,5.1,,,0.0,0.0,665,665,,
115,2.0,5.1,,,0.0,0.0,668,668,,
116,3.0,4.5,,,0.0,0.0,672,672,,
117,2.0,4.5,,,0.0,0.0,675,675,,
118,7.0,4.9,,,0.0,0.0,683,683,,
119,7.0,5.4,,,0.0,0.0,691,691,,
120,4.0,4.9,,,0.0,0.0,696,696,,
121,3.0,4.9,,,0.0,0.0,700,700,,
122,3.0,4.6,,,0.0,0.0,704,704,,
123,6.0,3.9,,,0.0,0.0,711,711,,
124,3.0,4.0,,,0.0,0.0,715,715,,
125,3.0,4.1,,,0.0,0.0,719,719,,
126,3.0,4.1,,,0.0,0.0,723,723,,
127,5.0,4.4,,,0.0,0.0,729,729,,
128,3.0,4.0,,,0.0,0.0,733,733,,
129,3.0,3.6,,,0.0,0.0,737,737,,
130,3.0,3.5,,,0.0,0.0,741,741,,
131,3.0,3.5,,,0.0,0.0,745,745,,
132,10.0,4.2,,,0.0,0.0,756,756,,
133,6.0,4.2,,,0.0,0.0,763,763,,
134,4.0,4.3,,,0.0,0.0,768,768,,
135,3.0,4.3,,,0.0,0.0,772,772,,
136,5.0,4.5,,,0.0,0.0,778,778,,
137,3.0,4.3,,,0.0,0.0,782,782,,
138,4.0,4.4,,,0.0,0.0,787,787,,
139,7.0,4.8,,,0.0,0.0,795,795,,
140,2.0,4.7,,,0.0,0.0,798,798,,
141,3.0,4.7,,,0.0,0.0,802,802,,
142,25.0,6.2,,,0.0,0.0,828,828,,
143,5.0,6.1,,,0.0,0.0,834,834,,
144,3.0,6.0,,,0.0,0.0,838,838,,
145,5.0,6.2,,,0.0,0.0,844,844,,
146,7.0,6.4,,,0.0,0.0,852,852,,
147,2.0,6.3,,,0.0,0.0,855,855,,
148,4.0,6.3,,,0.0,0.0,860,860,,
149,3.0,5.9,,,0.0,0.0,864,864,,
150,10.0,6.7,,,0.0,0.0,875,875,,
151,4.0,6.8,,,0.0,0.0,880,880,,
152,11.0,5.4,,,0.0,0.0,892,892,,
153,2.0,5.1,,,0.0,0.0,895,895,,
154,7.0,5.5,,,0.0,0.0,903,903,,
155,3.0,5.3,,,0.0,0.0,907,907,,
156,2.0,4.8,,,0.0,0.0,910,910,,
157,2.0,4.8,,,0.0,0.0,913,913,,
158,2.0,4.6,,,0.0,0.0,916,916,,
159,2.0,4.5,,,0.0,0.0,919,919,,
160,7.0,4.2,,,0.0,0.0,927,927,,
161,3.0,4.1,,,0.0,0.0,931,931,,
162,11.0,4.1,,,0.0,0.0,943,943,,
163,14.0,5.3,,,0.0,0.0,958,958,,
164,6.0,5.2,,,0.0,0.0,965,965,,
165,7.0,5.6,,,0.0,0.0,973,973,,
166,3.0,5.7,,,0.0,0.0,977,977,,
167,7.0,6.2,,,0.0,0.0,985,985,,
168,8.0,6.8,,,0.0,0.0,994,994,,
169,3.0,6.9,,,0.0,0.0,998,998,,
170,3.0,6.5,,,1.5880322257677715,-0.007863884791731834,1002,1002,,
171,16.0,7.8,,,1.421468636568855,-0.05899134278297424,1019,1019,,
172,14.0,8.1,,,0.8937713642915089,-0.2434749880007335,1034,1034,,
173,15.0,8.2,,,0.6705247070640326,-0.4519379772245884,1050,1050,,
174,23.0,9.9,,,0.5859179583688577,-0.4356881007552147,1074,1074,,
175,25.0,11.7,,,0.5348791388364939,-0.6037157086225656,1100,1100,,
176,22.0,13.6,,,0.4837405079084894,-0.8153733313083649,1123,1123,,
177,16.0,14.5,,,0.4016210007316926,-0.9702892005443573,1140,1140,,
178,14.0,15.1,,,0.3205497751633326,-1.0219285562634468,1155,1155,,
179,20.0,16.8,,,0.25997851150376455,-1.0523845672607421,1176,1176,,
180,26.0,19.1,,,0.2080078657578539,-1.0283488886696952,1203,1203,,
181,15.0,19.0,,,0.19775444641709328,-1.0240322351455688,1219,1219,,
182,9.0,18.5,,,0.21398867219686507,-1.0169782161712646,1229,1229,,
183,10.0,18.0,,,0.20369098064574329,-1.0179095625877381,1240,1240,,
184,9.0,16.6,,,0.201351111382246,-1.0317535877227784,1250,1250,,
185,10.0,15.1,,,0.2030515569177541,-1.0595930417378743,1261,1261,,
186,7.0,13.6,,,0.21168821025639772,-1.029567837715149,1269,1269,,
187,9.0,12.9,,,0.1920371249318123,-1.061269426345825,1279,1279,,
188,9.0,12.4,,,0.20956610515713692,-1.0599707126617433,1289,1289,,
189,8.0,11.2,,,0.215174058245288,-1.0650728940963745,1298,1298,,
190,11.0,9.7,,,0.21245097989837328,-1.0865196585655212,1310,1310,,
191,12.0,9.4,,,0.22882866916748193,-1.0873743465968542,1323,1323,,
192,12.0,9.7,,,0.2200832120501078,-1.1073766748110454,1336,1336,,
193,9.0,9.6,,,0.2297084927558899,-1.1215891599655152,1346,1346,,
194,8.0,9.5,,,0.22876210924651888,-1.1554632186889648,1355,1355,,
195,9.0,9.4,,,0.24001729860901833,-1.127021074295044,1365,1365,,
196,9.0,9.6,,,0.23932901844382287,-1.1730876922607423,1375,1375,,
197,8.0,9.5,,,0.23778912756178114,-1.192637950181961,1384,1384,,
198,10.0,9.6,,,0.2512605373154987,-1.1928012768427532,1395,1395,,
199,9.0,9.7,,,0.24869117364287377,-1.2046861410140992,1405,1405,,
200,8.0,9.4,,,0.2572178691625595,-1.1959644258022308,1414,1414,,
201,11.0,9.3,,,0.23374740531047186,-1.2363281051317851,1426,1426,,
202,7.0,8.8,,,0.24464846402406693,-1.2674366533756256,1434,1434,,
203,11.0,9.0,,,0.2651904554416736,-1.2550312280654907,1446,1446,,
204,7.0,8.9,,,0.2470318889245391,-1.256954699754715,1454,1454,,
205,8.0,8.8,,,0.2375990856024954,-1.2803317785263062,1463,1463,,
206,9.0,8.8,,,0.24648144990205764,-1.2992604732513429,1473,1473,,
207,10.0,9.0,,,0.2616452026096257,-1.3148401975631714,1484,1484,,
208,7.0,8.7,,,0.25076196249574423,-1.3463191092014313,1492,1492,,
209,8.0,8.6,,,0.24587751511070463,-1.332520079612732,1501,1501,,
210,8.0,8.6,,,0.26104844444327885,-1.3432095646858215,1510,1510,,
211,7.0,8.2,,,0.26660482585430145,-1.366810142993927,1518,1518,,
212,7.0,8.2,,,0.26283766236156225,-1.3495441377162933,1526,1526,,
213,6.0,7.7,,,0.2650350310972759,-1.4025985896587372,1533,1533,,
214,6.0,7.6,,,0.24673323439700262,-1.3707340558369954,1540,1540,,
215,7.0,7.5,,,0.2479064855724573,-1.4085727035999298,1548,1548,,
216,7.0,7.3,,,0.256256558932364,-1.414259135723114,1556,1556,,
217,7.0,7.0,,,0.2295748107135296,-1.4516103267669678,1564,1564,,
218,7.0,7.0,,,0.25410581938922405,-1.4191094636917114,1572,1572,,
219,7.0,6.9,,,0.26575491204857826,-1.463796317577362,1580,1580,,
220,7.0,6.8,,,0.24480697978287935,-1.4645902514457703,1588,1588,,
221,7.0,6.8,,,0.22287314850836992,-1.4965420961380005,1596,1596,,
222,6.0,6.7,,,0.2594946495124272,-1.4840704500675201,1603,1603,,
223,8.0,6.9,,,0.25684483018186355,-1.4966656863689423,1612,1612,,
224,8.0,7.1,,,0.25372803376780617,-1.515680193901062,1621,1621,,
225,8.0,7.2,,,0.2547539298733075,-1.5206299126148224,1630,1630,,
226,5.0,7.0,,,0.2536994554102421,-1.5588557720184326,1636,1636,,
227,7.0,7.0,,,0.2756636794656515,-1.5128717124462128,1644,1644,,
228,6.0,6.9,,,0.2788946468915258,-1.5537578761577606,1651,1651,,
229,8.0,7.0,,,0.243720181286335,-1.5769104361534119,1660,1660,,
230,7.0,7.0,,,0.25343895331025124,-1.557416558265686,1668,1668,,
231,7.0,7.0,,,0.25759736727923155,-1.606269359588623,1676,1676,,
232,8.0,7.2,,,0.2535632616943783,-1.6038051843643188,1685,1685,,
233,9.0,7.3,,,0.25343565046787264,-1.6066028118133544,1695,1695,,
