episode,reward,avg10,eval_reward,best_eval,critic_loss,actor_loss,steps,replay_size,grad_cosine,tick_vs_direct_mse
1,-39.92090644867661,-39.92090644867661,,,0.0,0.0,50,50,,
2,-44.82799493081351,-42.37445068974506,,,0.0,0.0,100,100,,
3,-48.90386129982923,-44.55092089310645,,,0.0,0.0,150,150,,
4,-40.341910435673704,-43.49866827874826,,,0.0,0.0,200,200,,
5,-41.59989709196369,-43.11891404139135,,,0.0,0.0,250,250,,
6,-41.18461587843735,-42.79653101423235,,,0.0,0.0,300,300,,
7,-42.83397546557043,-42.80188022156636,,,0.0,0.0,350,350,,
8,-43.795169808935285,-42.92604141998747,,,0.0,0.0,400,400,,
9,-48.908222816122795,-43.59072824178028,,,0.0,0.0,450,450,,
10,-48.114031669351,-44.043058584537356,,,0.0,0.0,500,500,,
11,-38.606585332124226,-43.91162647288212,,,0.0,0.0,550,550,,
12,-47.54662044860303,-44.18348902466107,,,0.0,0.0,600,600,,
13,-38.872745909333545,-43.18037748561151,,,0.0,0.0,650,650,,
14,-45.835694067240794,-43.72975584876822,,,0.0,0.0,700,700,,
15,-46.10670186948421,-44.18043632652027,,,0.0,0.0,750,750,,
16,-40.75201493570039,-44.137176232246574,,,0.0,0.0,800,800,,
17,-43.43572263397633,-44.197350949087166,,,0.0,0.0,850,850,,
18,-43.95394696707669,-44.21322866490131,,,0.0,0.0,900,900,,
19,-41.32818323967477,-43.455224707256505,,,0.0,0.0,950,950,,
20,-48.10714468322865,-43.45453600864427,,,2.0344886779785156,0.0,1000,1000,,
21,-33.60473162083393,-42.95435063751523,,,0.8516408944129944,0.5804143165051937,1050,1050,,
22,-80.840627060987,-46.283751298753636,,,0.5533189457654953,0.795466513633728,1100,1100,,
23,-69.01450519469303,-49.29792722728958,,,0.44521977126598355,0.9287264108657837,1150,1150,,
24,-14.50751949282991,-46.165109769848485,,,0.3519327133893967,1.019194359779358,1200,1200,,
25,-13.43316246385477,-42.89775582928554,,,0.27930358558893204,1.0043766260147096,1250,1250,,
26,-12.2254710107295,-40.045101436788464,,,0.2181682962179184,0.9702355742454529,1300,1300,,
27,-13.691083192103605,-37.07063749260118,,,0.1534479098021984,0.9233746719360352,1350,1350,,
28,-13.704595334596345,-34.04570232935315,,,0.11495142325758934,0.8598068881034852,1400,1400,,
29,-18.182657732604863,-31.73114977864616,,,0.07433170638978481,0.7925776410102844,1450,1450,,
30,-11.269579874005588,-28.047393297723858,,,0.08082003220915794,0.7650927305221558,1500,1500,,
31,-12.680048322597774,-25.95492496790024,,,0.06775105118751526,0.7478564095497131,1550,1550,,
32,-12.254482651969909,-19.09631052699853,,,0.06178651377558708,0.755490620136261,1600,1600,,
33,-9.845051534984625,-13.17936516102769,,,0.04998167708516121,0.758569815158844,1650,1650,,
34,-11.747093702411243,-12.903322581985822,,,0.04969007350504398,0.7736552858352661,1700,1700,,
35,-14.091291853695298,-12.969135520969877,,,0.05239362496882677,0.7907390117645263,1750,1750,,
36,-16.034711680383538,-13.350059587935277,,,0.06216648675501347,0.8068219923973083,1800,1800,,
37,-11.73876684292123,-13.154827953017042,,,0.048719144091010094,0.8289876317977906,1850,1850,,
38,-10.064646725992864,-12.790833092156692,,,0.045882422104477884,0.8456959891319275,1900,1900,,
39,-16.801182211683415,-12.652685540064548,,,0.0472925741225481,0.8727169394493103,1950,1950,,
40,-9.172592536443096,-12.442986806308298,,,0.043275901041924955,0.8829668068885803,2000,2000,,
41,-14.229804509471878,-12.597962424995709,,,0.051635607033967974,0.9004412889480591,2050,2050,,
42,-14.60678330469195,-12.833192490267914,,,0.04950804378837347,0.9247176885604859,2100,2100,,
43,-14.937953311523538,-13.342482667921804,,,0.04318761587142944,0.9650240111351013,2150,2150,,
44,-10.719542393263048,-13.239727537006985,,,0.05022382494062185,0.9853155303001404,2200,2200,,
45,-13.231349338162557,-13.153733285453711,,,0.05661308690905571,1.017319667339325,2250,2250,,
46,-9.83564883281433,-12.53382700069679,,,0.059058768451213835,1.0384413552284242,2300,2300,,
47,-9.917931947394191,-12.351743511144088,,,0.051250042580068114,1.0493064498901368,2350,2350,,
48,-12.18439699021191,-12.563718537565991,,,0.061332798972725866,1.0867060279846192,2400,2400,,
49,-12.470515245617387,-12.13065184095939,,,0.052838681489229204,1.1146285438537598,2450,2450,,
50,-10.791322804485352,-12.292524867763614,,,0.05157241459935904,1.1425190830230714,2500,2500,,
51,-7.717165226447064,-11.641260939461132,,,0.0587355536967516,1.1784742879867554,2550,2550,,
52,-12.498465303097943,-11.430429139301733,,,0.0675391050055623,1.1939221286773682,2600,2600,,
53,-14.306719430867009,-11.36730575123608,,,0.054448408000171186,1.21672438621521,2650,2650,,
54,-6.189646370250931,-10.914316148934867,,,0.058798363767564296,1.2479066276550292,2700,2700,,
55,-5.557579476732414,-10.146939162791853,,,0.06223639205098152,1.2666566371917725,2750,2750,,
56,-14.337805219261492,-10.59715480143657,,,0.05791246980428696,1.2910472679138183,2800,2800,,
57,-12.053369265060322,-10.810698533203183,,,0.0633760790154338,1.3200630235671997,2850,2850,,
58,-8.548051813158725,-10.447064015497864,,,0.06878776185214519,1.3449694299697876,2900,2900,,
59,-18.051355030404814,-11.005147993976607,,,0.06435163848102093,1.3694814729690552,2950,2950,,
60,-10.692589879531559,-10.995274701481225,,,0.06458964854478837,1.4008985805511474,3000,3000,,
61,-5.765872566184902,-10.80014543545501,,,0.06708450920879841,1.4277648401260377,3050,3050,,
62,-16.112740213983408,-11.161572926543556,,,0.07150667116045951,1.4495251989364624,3100,3100,,
63,-9.028491005983364,-10.633750084055194,,,0.07684468433260917,1.4710172462463378,3150,3150,,
64,-7.500539606712115,-10.764839407701313,,,0.07409170098602771,1.5059416437149047,3200,3200,,
65,-7.033266030754045,-10.912408063103474,,,0.07702618747949601,1.5222586345672608,3250,3250,,
66,-15.400337347253382,-11.018661275902664,,,0.07916880302131175,1.5417376613616944,3300,3300,,
67,-7.603846272914953,-10.573708976688128,,,0.07819631353020667,1.5792596960067748,3350,3350,,
68,-12.388692048779674,-10.95777300025022,,,0.07790563374757767,1.5999280309677124,3400,3400,,
69,-12.844716763277512,-10.437109173537491,,,0.08673120371997356,1.6251958227157592,3450,3450,,
70,-10.739845079539837,-10.44183469353832,,,0.08545960806310177,1.6627415418624878,3500,3500,,
71,-17.601662202736946,-11.625413657193523,,,0.07753168422728778,1.6938225889205933,3550,3550,,
72,-18.77882986151084,-11.892022621946268,,,0.09108206897974014,1.7295206880569458,3600,3600,,
73,-11.97000215098987,-12.186173736446918,,,0.08033474899828434,1.7522549390792848,3650,3650,,
74,-10.8279602469673,-12.518915800472437,,,0.09214360445737839,1.785227608680725,3700,3700,,
75,-10.51286394013246,-12.866875591410277,,,0.08531242690980434,1.799513578414917,3750,3750,,
76,-12.896347444434824,-12.616476601128422,,,0.0880644328892231,1.831010375022888,3800,3800,,
77,-7.3376326565776315,-12.589855239494689,,,0.08961197979748249,1.8534765720367432,3850,3850,,
78,-8.376243776595176,-12.188610412276239,,,0.09172282956540584,1.8706899642944337,3900,3900,,
79,-13.002273801814011,-12.20436611612989,,,0.08928728431463241,1.8912416887283325,3950,3950,,
80,-11.667609845395274,-12.297142592715435,,,0.10559941619634629,1.9348259162902832,4000,4000,,
81,-9.165532547805086,-11.453529627222249,,,0.09454418033361435,1.9371927738189698,4050,4050,,
82,-8.670709961047192,-10.442717637175884,,,0.10153710260987282,1.9772610425949098,4100,4100,,
83,-4.750060603906367,-9.720723482467532,,,0.11053782925009728,1.9876034927368165,4150,4150,,
84,-14.013125997655012,-10.039240057536302,,,0.10532623954117298,2.0001028394699096,4200,4200,,
85,-18.151252156607267,-10.803078879183785,,,0.11363344579935074,2.0457457876205445,4250,4250,,
